Title,Price,Rating,Image URL,Result Type,Product URL
"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PCIN",₹56990,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71odoZVRgaL._AC_UY218_.jpg,Ad,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDA5NzEyODg4MTU4OTIxOjE3ODA5MDgxNDE6c3BfYXRmOjMwMDY5NjkxMDA2MTgzMjo6MDo6&url=%2FLenovo-1920x1080-Antiglare-Windows-83A0A0PCIN%2Fdp%2FB0FNQZ9HWX%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1780908141%26sr%3D8-1-spons%26aref%3DM0zFv9qL7N%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=M0zFv9qL7N&sp_cr=ZAZ
"HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365(1yr)* Office24, Silver, 1.35kg, he0014QU, Next-Gen AI Laptop",₹79990,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71ZlIDunitL._AC_UY218_.jpg,Ad,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDA5NzEyODg4MTU4OTIxOjE3ODA5MDgxNDE6c3BfYXRmOjMwMTA3NzY5NjM1NTUzMjo6MDo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1780908141%26sr%3D8-2-spons%26aref%3D5PpUNM42iT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=5PpUNM42iT&sp_cr=ZAZ
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg",₹45490,4.1 out of 5 stars,https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,Organic,https://www.amazon.in/Dell-Previously-Inspiron-Processor-Display/dp/B0BQJ68HHC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-3
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",₹42999,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,Organic,https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-4
"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",₹38990,3.3 out of 5 stars,https://m.media-amazon.com/images/I/71uoRYyilhL._AC_UY218_.jpg,Organic,https://www.amazon.in/Acer-Smartchoice-Celeron-LPDDR4X-A114-45/dp/B0GW8JNM6J/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-5
"HP 15 255R G10, AMD Ryzen 5 7535U Hexa Core (6 Core, 12 Threads, 2.9 to Max 4.3 Ghz) (8 GB/512 GB SSD/AMD Radeon Graphics/dos) Thin and Light Laptop(15.6 inch HD Display, Matt Silver, 1.45",₹47590,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,Organic,https://www.amazon.in/HP-G10-Threads-Graphics-Display/dp/B0G7YY5JV5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-6
"ASUS Chromebook CX1405 (2026), Smartchoice,Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop",₹30990,2.7 out of 5 stars,https://m.media-amazon.com/images/I/616Jpqwdp3L._AC_UY218_.jpg,Organic,https://www.amazon.in/ASUS-Chromebook-Smartchoice-Processor-CX1405CTA-S60622/dp/B0GN2Y3T6M/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-7
"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS,RTX 3050-4GB,75W TGP,16GB DDR5(Upgradeable Upto 64GB) 512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,Windows 11,Graphite Black,2.3 Kg FA506NCG-HN199W, Gaming Laptop",₹68990,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71K4CpdfmHL._AC_UY218_.jpg,Organic,https://www.amazon.in/ASUS-Upgradeable-Keyboard-Graphite-FA506NCG-HN199W/dp/B0FM3C4L2F/ref=sr_1_8?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-8
"HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop",₹54990,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71qeL9SvpeL._AC_UY218_.jpg,Organic,https://www.amazon.in/HP-Anti-Glare-Micro-Edge-fc0690au-Graphics/dp/B0CY2PLQ8N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-9
"Acer Aspire Lite, AMD Ryzen 3-7330U, Office 2024 + M365 Basic,8GB RAM, 256GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Metal Body, Premium Thin and Light Laptop",₹41990,N/A,https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,Organic,https://www.amazon.in/Acer-3-7330U-Windows-AL15-41-Premium/dp/B0GXYV3XR4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-10
